Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
45-54,Education (Higher Education),Program Manager,71000,0.0,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White,71000.0,17.0
35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,0.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White,75000.0,13.0
35-44,Education (Higher Education),Manager of Market Research and Data,80000,0.0,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White,80000.0,37.0
35-44,Computing or Tech,Senior Business Analyst,125000,0.0,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,125000.0,36.0
35-44,Education (Higher Education),Special Collections Cataloger,65000,0.0,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White,65000.0,42.0
35-44,Engineering or Manufacturing,Senior Engineer ,105000,13000.0,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White,118000.0,42.0
35-44,Education (Higher Education),Digital Archivist,65000,0.0,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,65000.0,42.0
25-34,"Accounting, Banking & Finance",Accounting Manager,90000,0.0,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White,90000.0,47.0
45-54,Computing or Tech,senior web application developer,98166,0.0,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White,98166.0,18.0
25-34,Education (Primary/Secondary),Director of Development,63500,0.0,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White,63500.0,47.0
25-34,Nonprofits,Program & Administrative Assistant,47700,2000.0,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,49700.0,11.0
55-64,Computing or Tech,Chief Engineer,87000,8000.0,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White,95000.0,39.0
25-34,Education (Higher Education),Administrative Support Assistant,39635,305.0,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White",39940.0,12.0
25-34,Government and Public Administration,Administrative Officer,53000,0.0,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White,53000.0,37.0
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,0.0,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White,47255.0,18.0
45-54,Health care,Customer Service Representative,34361,0.0,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",34361.0,4.0
45-54,Engineering or Manufacturing,Senior Device Engineer,150000,20000.0,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White,170000.0,8.0
35-44,Education (Higher Education),Graduate Student,20000,0.0,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White,20000.0,27.0
25-34,Computing or Tech,Senior Financial Analyst,107220,16083.0,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,123303.0,48.0
45-54,Education (Higher Education),Professor,95000,10000.0,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White,105000.0,26.0
25-34,"Accounting, Banking & Finance",Finance Manager,100000,5000.0,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White,105000.0,36.0
35-44,Education (Higher Education),Medical Education Director,119000,2500.0,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White,121500.0,6.0
25-34,Education (Higher Education),Associate Director of Donor Relations,75000,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,75000.0,25.0
35-44,Education (Higher Education),Assistant Professor of Law,145000,15000.0,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White,160000.0,36.0
25-34,"Marketing, Advertising & PR",Content Writer,48000,2000.0,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White,50000.0,29.0
45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,10000.0,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White,85000.0,17.0
35-44,Nonprofits,Archivist,54000,100.0,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White,54100.0,19.0
55-64,Nonprofits,Content Development Manager,101500,0.0,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White,101500.0,11.0
25-34,Education (Higher Education),Senior Administrative Assistant ,62000,0.0,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White,62000.0,25.0
25-34,Government and Public Administration,Project Coordinator,59015,0.0,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White,59015.0,34.0
35-44,Engineering or Manufacturing,Project Estimator,95000,5000.0,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White,100000.0,26.0
35-44,Nonprofits,Customer Advocate,35000,3000.0,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White,38000.0,42.0
35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,2500.0,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White,58500.0,47.0
35-44,Education (Higher Education),Associate Director,85000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,85000.0,17.0
35-44,Education (Higher Education),Editor,62000,0.0,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White,62000.0,48.0
25-34,Law,Staff Attorney,74000,0.0,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White,74000.0,26.0
25-34,Nonprofits,Program Associate,63000,1000.0,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White,64000.0,11.0
35-44,Education (Higher Education),Research Technologist,42000,0.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White,42000.0,31.0
45-54,Health care,Clinical analyst,100000,0.0,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White,100000.0,13.0
18-24,Government and Public Administration,Policy Analyst ,60129,3000.0,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White,63129.0,11.0
25-34,Computing or Tech,Service Designer,130000,0.0,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",130000.0,51.0
25-34,"Accounting, Banking & Finance",Senior Accountant,60000,0.0,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White,60000.0,39.0
35-44,Nonprofits,Administrative Assistant,37000,0.0,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White,37000.0,39.0
25-34,Engineering or Manufacturing,User experience specialist,85000,3000.0,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White,88000.0,45.0
25-34,Nonprofits,Director of Development,92000,0.0,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White,92000.0,25.0
25-34,Engineering or Manufacturing,Production Technician,65000,4000.0,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White,69000.0,55.0
35-44,"Marketing, Advertising & PR",Graphic Designer,35000,0.0,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White,35000.0,18.0
25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000.0,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White,75000.0,40.0
25-34,Engineering or Manufacturing,Director of Intelligence,102500,20000.0,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",122500.0,12.0
35-44,Nonprofits,Coordinator of Survivor Services,70000,0.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,42.0
45-54,Computing or Tech,Software Development Manager,140000,5000.0,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White,145000.0,8.0
35-44,"Marketing, Advertising & PR",Brand Consultant,400000,0.0,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White,400000.0,36.0
35-44,Nonprofits,HR director,61200,0.0,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White,61200.0,17.0
35-44,Computing or Tech,technical support specialist,70000,0.0,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American,70000.0,48.0
25-34,Education (Higher Education),Communications Specialist,52000,0.0,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White,52000.0,25.0
25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,0.0,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White,57000.0,51.0
25-34,Nonprofits,Associate,83200,0.0,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White,83200.0,11.0
18-24,"Marketing, Advertising & PR","Manager, Planning",77500,0.0,New York,New York City ,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White",77500.0,36.0
35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,10000.0,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,225000.0,36.0
45-54,Law,Senior Corporate Counsel,220000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American,220000.0,6.0
25-34,"Accounting, Banking & Finance",Lead business controls specialist,94000,0.0,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White,94000.0,17.0
25-34,Engineering or Manufacturing,Product Engineer,57000,0.0,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White,57000.0,53.0
35-44,Computing or Tech,Senior Technical Writer,83000,8000.0,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White,91000.0,6.0
35-44,Nonprofits,Senior Director,90000,0.0,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White,90000.0,11.0
25-34,Government and Public Administration,Planner,76000,0.0,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,76000.0,6.0
25-34,Nonprofits,Information and Program Manager,70000,5000.0,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White,75000.0,42.0
35-44,Engineering or Manufacturing,Media and PR,80000,0.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White,80000.0,31.0
35-44,Nonprofits,Technical assistance provider,70000,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,25.0
25-34,Education (Higher Education),Library Specialist,34299,0.0,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White,34299.0,23.0
35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,0.0,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White,50000.0,36.0
35-44,Law,Associate Attorney,125000,0.0,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White,125000.0,11.0
55-64,Law,Attorney,275000,0.0,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White,275000.0,27.0
35-44,Engineering or Manufacturing,Software engineer,139000,9000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,148000.0,53.0
25-34,Law,Paralegal / Legal Assistant,54080,500.0,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White,54580.0,26.0
45-54,Education (Primary/Secondary),Librarian,70000,1000.0,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White,71000.0,48.0
25-34,Nonprofits,Communications Associate,53000,0.0,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,53000.0,11.0
35-44,Health care,Cytotechnologist ,82160,0.0,Wisconsin,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White,82160.0,55.0
18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,0.0,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",25700.0,18.0
35-44,Education (Higher Education),"Librarian, non-supervisory",77000,0.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,77000.0,42.0
35-44,Health care,Content Strategist,50000,0.0,Arizona,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White,50000.0,4.0
25-34,Government and Public Administration,Public Service Tech,31616,0.0,Georgia,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White,31616.0,13.0
35-44,Government and Public Administration,EOS,95000,2000.0,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,97000.0,36.0
25-34,Education (Primary/Secondary),High school teacher ,71000,0.0,New York,New York ,5-7 years,5-7 years,College degree,Non-binary,White,71000.0,36.0
45-54,Computing or Tech,Business Analyst,88000,0.0,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White,88000.0,37.0
25-34,Health care,IT Training Specialist,76000,0.0,Massachusetts,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White,76000.0,25.0
35-44,Health care,Principal Statistical Programmer,165000,30000.0,Massachusetts,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary,White,195000.0,25.0
25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,0.0,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin",45760.0,6.0
25-34,"Marketing, Advertising & PR",Communications Manager,86000,0.0,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White,86000.0,12.0
25-34,Education (Higher Education),Admissions Advisor,56000,0.0,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White,56000.0,55.0
25-34,Law,Associate,125000,0.0,Tennessee,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White,125000.0,47.0
35-44,Computing or Tech,Supply chain manager,125000,50000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,175000.0,53.0
25-34,Health care,RN,60000,0.0,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White,60000.0,47.0
25-34,Law,Associate,190000,0.0,Massachusetts,Boston,1 year or less,1 year or less,Master's degree,Woman,White,190000.0,25.0
45-54,Education (Primary/Secondary),teacher,94000,0.0,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White,94000.0,9.0
35-44,Government and Public Administration,Administrative Assistant,49000,0.0,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White,49000.0,41.0
35-44,Nonprofits,Director of Development,120000,0.0,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White,120000.0,6.0
25-34,Education (Higher Education),Teaching Assistant,28000,0.0,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,28000.0,34.0
35-44,Education (Higher Education),Advancement Accounting Assistant,40575,0.0,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White,40575.0,53.0
25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500,0.0,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White,75500.0,37.0
25-34,"Marketing, Advertising & PR",Copy supervisor,115000,12000.0,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White,127000.0,42.0
35-44,Government and Public Administration,Policy analyst ,70000,0.0,Massachusetts,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White,70000.0,25.0
25-34,Computing or Tech,Visual Designer,110000,1400.0,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman,White,111400.0,17.0
55-64,"Marketing, Advertising & PR",Graphic Designer,61000,0.0,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White,61000.0,17.0
55-64,Nonprofits,Information Technology Specialist,47250,0.0,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White,47250.0,54.0
35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,4000.0,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White,100000.0,27.0
35-44,Nonprofits,Digital Marketing Specialist,45000,0.0,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White,45000.0,42.0
25-34,Government and Public Administration,Editor,78167,0.0,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White,78167.0,11.0
25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500,55000.0,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White,187500.0,36.0
45-54,Computing or Tech,"IT Manager, Financial Systems",124000,0.0,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White,124000.0,47.0
45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,0.0,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White,108000.0,27.0
35-44,"Accounting, Banking & Finance",Principal Consultant ,110000,5000.0,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,115000.0,37.0
35-44,Education (Higher Education),"Assistant director, communications",83000,0.0,Arizona,Flagstaff,11 - 20 years,5-7 years,Master's degree,Woman,White,83000.0,4.0
25-34,Education (Higher Education),Student Success Center Coordinator,45000,0.0,Illinois,Carlinville,5-7 years,5-7 years,Master's degree,Woman,White,45000.0,17.0
25-34,Government and Public Administration,Editor,91000,2000.0,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman,White,93000.0,11.0
35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,17550.0,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White,134550.0,27.0
35-44,Education (Higher Education),Research administrator ,71697,0.0,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White,71697.0,42.0
35-44,Education (Higher Education),Director of Alumni Communications,120000,0.0,Massachusetts,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White,120000.0,25.0
25-34,Education (Higher Education),Admin Assistant,52000,0.0,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin",52000.0,36.0
45-54,Engineering or Manufacturing,Product Support Representative,47840,2000.0,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White",49840.0,6.0
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,0.0,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White,150000.0,25.0
25-34,"Accounting, Banking & Finance",Equity Analyst,100000,5000.0,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,105000.0,36.0
35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,8000.0,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,105500.0,17.0
25-34,"Accounting, Banking & Finance",Operations,100000,50000.0,Texas,Dallas,5-7 years,5-7 years,College degree,Man,White,150000.0,48.0
45-54,Health care,Senior Project Specialist,125000,0.0,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White,125000.0,25.0
35-44,Government and Public Administration,Public Library Director,63000,0.0,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White,63000.0,55.0
18-24,"Accounting, Banking & Finance",Accountant ,45000,0.0,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman,White,45000.0,18.0
35-44,Government and Public Administration,Senior Director of Public Policy,70000,5000.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White,75000.0,25.0
25-34,Government and Public Administration,Analyst ,64000,0.0,Maryland,Baltimore ,5-7 years,1 year or less,College degree,Woman,Black or African American,64000.0,24.0
45-54,Engineering or Manufacturing,Quality Manager ,80000,4000.0,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman,White,84000.0,42.0
